Modelo,Precio (€),Año,Kilometraje (kms),Color,País,Hashtags
Tesla Model S 75D,"29,100",2018,"117,456",Black,Spain,"#spain, #uncorked acceleration, #enhanced autopilot, #standard connectivity, #left hand drive, #hardware 2.5, #black premium seats, #san simeon silver metallic c…, #glass roof, #smart air suspension, #19"" silver slipstream wheels"
Tesla Model S 75D,"28,600",2018,"127,132",Black,France,"#france, #uncorked acceleration, #ultra high fidelity sound, #enhanced autopilot, #standard connectivity, #left hand drive, #hardware 2.5, #weather package, #hepa filter, #multi-pattern black interior, #midnight silver metallic col…, #premium upgrades package, #glass roof, #smart air suspension, #19"" silver slipstream wheels"
Tesla Model S 75D,"28,400",2018,"116,251",Black,France,"#france, #uncorked acceleration, #enhanced autopilot, #standard connectivity, #left hand drive, #hardware 2.5, #multi-pattern black interior, #obsidian black multi-coat co…, #glass roof, #smart air suspension, #19"" silver slipstream wheels"
Tesla Model S 75D,"33,500",2018,"70,614",Black,Spain,"#spain, #uncorked acceleration, #ultra high fidelity sound, #enhanced autopilot, #standard connectivity, #left hand drive, #hardware 2.5, #weather package, #hepa filter, #black premium seats, #solid black color, #premium upgrades package, #sunroof, #smart air suspension, #19"" silver slipstream wheels"
Tesla Model S 75D,"34,200",2018,"68,302",Black,Spain,"#spain, #uncorked acceleration, #ultra high fidelity sound, #enhanced autopilot, #standard connectivity, #left hand drive, #hardware 2.5, #weather package, #hepa filter, #multi-pattern black interior, #solid black color, #premium upgrades package, #glass roof, #smart air suspension, #19"" silver slipstream wheels"
Tesla Model S 100D,"39,200",2018,"92,202",Black,France,"#france, #uncorked acceleration, #ultra high fidelity sound, #enhanced autopilot, #standard connectivity, #left hand drive, #hardware 2.5, #weather package, #hepa filter, #black premium seats, #obsidian black multi-coat co…, #premium upgrades package, #glass roof, #smart air suspension, #21"" sonic carbon twin turbin…"
Tesla Model S 100D,"38,500",2018,"84,325",Black,France,"#france, #uncorked acceleration, #enhanced autopilot, #standard connectivity, #left hand drive, #hardware 2.5, #multi-pattern black interior, #solid black color, #sunroof, #smart air suspension, #19"" silver slipstream wheels"
Tesla Model S 100D,"39,000",2018,"91,227",Black,France,"#france, #uncorked acceleration, #ultra high fidelity sound, #enhanced autopilot, #standard connectivity, #left hand drive, #hardware 3.0, #weather package, #hepa filter, #black premium seats, #obsidian black multi-coat co…, #premium upgrades package, #glass roof, #smart air suspension, #19"" grey slipstream wheels"
Tesla Model S Long Range,"42,000",2019,"102,621",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #solid black color, #premium upgrades package, #19"" silver slipstream wheels"
Tesla Model S 100D,"44,000",2019,"96,688",White,France,"#france, #uncorked acceleration, #ultra high fidelity sound, #enhanced autopilot, #standard connectivity, #left hand drive, #hardware 2.5, #weather package, #hepa filter, #pearl white multi-coat color, #premium upgrades package, #sunroof, #smart air suspension, #19"" grey slipstream wheels"
Tesla Model S Performance,"44,500",2019,"99,838",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #solid black color, #21"" sonic carbon twin turbin…"
Tesla Model S Long Range,"46,500",2019,"56,744",Silver,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #midnight silver metallic col…, #premium upgrades package, #21"" sonic carbon twin turbin…"
Tesla Model S Performance,"44,700",2019,"90,274",Red,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #red multi-coat color, #19"" grey slipstream wheels"
Tesla Model S Performance,"47,000",2019,"88,817",Silver,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #midnight silver metallic col…, #21"" sonic carbon twin turbin…"
Tesla Model S Long Range,"53,500",2020,"96,181",Blue,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #premium upgrades package, #19"" silver slipstream wheels"
Tesla Model S Long Range,"55,550",2020,"58,870",Blue,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #premium upgrades package, #19"" silver slipstream wheels"
Tesla Model S,"79,500",2023,"13,178",White,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model S,"80,600",2023,"12,410",Black,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #solid black color, #tow package"
Tesla Model S Plaid,"81,700",2023,"36,085",White,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model S,"82,010",2023,"2,497",White,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model S,"83,500",2023,"8,276",Black,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #solid black color, #tow package"
Tesla Model S,"84,070",2023,"3,414",White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model S,"84,400",2023,"6,300",White,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model S,"86,500",2023,"3,269",Red,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #ultra red color, #tow package"
Tesla Model S Plaid,"87,400",2023,"15,040",White,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model S,"87,410",2024,"5,165",Black,France,"#france, #autopilot, #premium connectivity, #left hand drive, #solid black color, #tow package"
Tesla Model S,"88,990",2023,"6,196",Blue,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #tow package"
Tesla Model S,"89,450",2024,"1,063",Blue,France,"#france, #autopilot, #premium connectivity, #left hand drive, #deep blue metallic color, #tow package"
Tesla Model S Plaid,"89,900",2023,"27,477",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #solid black color, #tow package"
Tesla Model S,"90,450",2024,710,White,France,"#france, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model S,"90,610",2024,792,Blue,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #deep blue metallic color, #tow package"
Tesla Model S,"90,770",2024,551,Black,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #solid black color, #tow package"
Tesla Model S,"91,500",2024,879,Grey,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #stealth grey color, #tow package"
Tesla Model S,"92,030",2024,28,Grey,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #stealth grey color, #tow package"
Tesla Model S,"92,380",2024,31,Black,France,"#france, #autopilot, #premium connectivity, #left hand drive, #solid black color, #tow package"
Tesla Model S,"93,200",2024,42,Desconocido,France,"#france, #autopilot, #premium connectivity, #left hand drive, #tow package"
Tesla Model S,"95,225",2024,"6,465",White,Portugal,"#portugal, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model S,"96,325",2024,22,Red,Portugal,"#portugal, #autopilot, #premium connectivity, #left hand drive, #ultra red color, #tow package"
Tesla Model S,"97,750",2024,17,Desconocido,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #tow package"
Tesla Model S,"98,875",2023,"1,035",White,Portugal,"#portugal, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model S,"99,600",2023,503,White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model S Plaid,"101,360",2024,"5,313",Red,France,"#france, #autopilot, #premium connectivity, #left hand drive, #ultra red color, #tow package"
Tesla Model S Plaid,"101,480",2024,"3,652",Black,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #solid black color, #tow package"
Tesla Model S,"102,270",2023,0,White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model S,"102,280",2023,"1,011",Black,France,"#france, #autopilot, #standard connectivity, #left hand drive, #solid black color, #tow package"
Tesla Model S Plaid,"102,540",2023,"1,700",Black,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #solid black color, #tow package"
Tesla Model S,"102,580",2024,0,Grey,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #stealth grey color, #tow package"
Tesla Model S Plaid,"102,710",2024,21,Red,France,"#france, #autopilot, #premium connectivity, #left hand drive, #ultra red color, #tow package"
Tesla Model S,"103,525",2023,0,Black,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #solid black color, #tow package"
Tesla Model S Plaid,"110,380",2024,541,Black,France,"#france, #autopilot, #standard connectivity, #left hand drive, #solid black color, #tow package"
Tesla Model S Plaid,"111,850",2024,25,Desconocido,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #tow package"
Tesla Model S Plaid,"115,290",2024,25,White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model S Plaid,"115,490",2024,18,Grey,France,"#france, #autopilot, #standard connectivity, #left hand drive, #stealth grey color, #tow package"
Tesla Model S Plaid,"115,680",2024,21,Blue,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #deep blue metallic color, #tow package"
Tesla Model S Plaid,"115,835",2024,"3,197",Red,Portugal,"#portugal, #autopilot, #premium connectivity, #left hand drive, #ultra red color, #tow package"
Tesla Model S Plaid,"115,925",2024,17,White,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model S Plaid,"116,120",2024,26,Grey,France,"#france, #autopilot, #premium connectivity, #left hand drive, #stealth grey color, #tow package"
Tesla Model S Plaid,"117,100",2024,20,Grey,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #stealth grey color, #tow package"
Tesla Model S Plaid,"118,890",2024,28,Desconocido,France,"#france, #autopilot, #standard connectivity, #left hand drive, #tow package"
Tesla Model S Plaid,"121,025",2024,53,Desconocido,Portugal,"#portugal, #autopilot, #premium connectivity, #left hand drive, #tow package"
Tesla Model S Plaid,"121,690",2024,18,Desconocido,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #tow package"
