Modelo,Precio (€),Año,Kilometraje (kms),Color,País,Hashtags
Tesla Model X 100D,"43,200",2018,"91,833",Silver,France,"#france, #uncorked acceleration, #ultra high fidelity sound, #enhanced autopilot, #standard connectivity, #left hand drive, #hardware 2.5, #weather package, #hepa filter, #midnight silver metallic col…, #premium upgrades package, #glass roof, #five seat interior, #smart air suspension, #tow package, #20"" sonic carbon wheels"
Tesla Model X 100D,"39,500",2018,"124,003",Silver,France,"#france, #uncorked acceleration, #ultra high fidelity sound, #enhanced autopilot, #standard connectivity, #left hand drive, #hardware 2.5, #weather package, #hepa filter, #midnight silver metallic col…, #premium upgrades package, #glass roof, #five seat interior, #smart air suspension, #tow package, #20"" sonic carbon wheels"
Tesla Model X 100D,"44,200",2019,"114,328",Blue,France,"#france, #uncorked acceleration, #ultra high fidelity sound, #enhanced autopilot, #standard connectivity, #left hand drive, #hardware 3.0, #weather package, #hepa filter, #deep blue metallic color, #premium upgrades package, #glass roof, #six seat interior, #smart air suspension, #tow package, #20"" sonic carbon wheels"
Tesla Model X 100D,"44,500",2019,"115,609",Silver,France,"#france, #uncorked acceleration, #ultra high fidelity sound, #enhanced autopilot, #standard connectivity, #left hand drive, #hardware 3.0, #weather package, #hepa filter, #midnight silver metallic col…, #premium upgrades package, #glass roof, #six seat interior, #smart air suspension, #tow package, #20"" silver slipstream wheels"
Tesla Model X 100D,"48,500",2019,"75,286",Silver,France,"#france, #uncorked acceleration, #ultra high fidelity sound, #enhanced autopilot, #standard connectivity, #left hand drive, #hardware 3.0, #weather package, #hepa filter, #midnight silver metallic col…, #premium upgrades package, #glass roof, #five seat interior, #suspension update, #tow package, #20"" silver slipstream wheels"
Tesla Model X Long Range,"49,000",2019,"98,188",Silver,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #midnight silver metallic col…, #premium upgrades package, #five seat interior, #tow package, #20"" silver slipstream wheels"
Tesla Model X 100D,"49,900",2018,"52,351",Silver,France,"#france, #uncorked acceleration, #enhanced autopilot, #standard connectivity, #left hand drive, #hardware 2.5, #midnight silver metallic col…, #glass roof, #seven seat interior, #smart air suspension, #tow package, #20"" sonic carbon wheels"
Tesla Model X 100D,"51,400",2019,"84,586",Silver,France,"#france, #uncorked acceleration, #ultra high fidelity sound, #enhanced autopilot, #standard connectivity, #left hand drive, #hardware 3.0, #weather package, #hepa filter, #midnight silver metallic col…, #premium upgrades package, #glass roof, #six seat interior, #smart air suspension, #tow package, #20"" silver slipstream wheels"
Tesla Model X P100D,"51,800",2019,"95,034",Black,France,"#france, #ludicrous speed upgrade, #ultra high fidelity sound, #enhanced autopilot, #standard connectivity, #left hand drive, #hardware 3.0, #weather package, #hepa filter, #solid black color, #premium upgrades package, #glass roof, #six seat interior, #suspension update, #tow package, #20"" sonic carbon wheels"
Tesla Model X 100D,"52,000",2018,"108,044",Blue,Spain,"#spain, #uncorked acceleration, #enhanced autopilot, #standard connectivity, #left hand drive, #hardware 2.5, #deep blue metallic color, #glass roof, #seven seat interior, #smart air suspension, #tow package, #20"" sonic carbon wheels"
Tesla Model X Long Range,"53,800",2019,"64,177",Silver,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #midnight silver metallic col…, #premium upgrades package, #five seat interior, #tow package, #20"" silver slipstream wheels"
Tesla Model X Long Range Plus,"54,000",2020,"53,949",White,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #premium beige interior with …, #pearl white multi-coat color, #premium upgrades package, #five seat interior, #tow package, #20"" silver slipstream wheels"
Tesla Model X Long Range,"55,000",2019,"59,026",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #solid black color, #premium upgrades package, #five seat interior, #tow package, #20"" silver slipstream wheels"
Tesla Model X Long Range,"55,500",2020,"91,785",White,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #premium upgrades package, #six seat interior, #tow package, #20"" silver slipstream wheels"
Tesla Model X 100D,"56,000",2019,"55,363",Silver,France,"#france, #uncorked acceleration, #ultra high fidelity sound, #enhanced autopilot, #standard connectivity, #left hand drive, #hardware 3.0, #weather package, #hepa filter, #midnight silver metallic col…, #premium upgrades package, #glass roof, #five seat interior, #smart air suspension, #tow package, #20"" silver slipstream wheels"
Tesla Model X Long Range Plus,"57,000",2020,"59,115",Silver,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #premium beige interior with …, #midnight silver metallic col…, #premium upgrades package, #six seat interior, #tow package, #22"" onyx black wheels"
Tesla Model X P100D,"58,000",2019,"64,984",Silver,Portugal,"#portugal, #ludicrous speed upgrade, #ultra high fidelity sound, #enhanced autopilot, #standard connectivity, #left hand drive, #hardware 3.0, #weather package, #hepa filter, #midnight silver metallic col…, #premium upgrades package, #glass roof, #six seat interior, #suspension update, #tow package, #22"" onyx black wheels"
Tesla Model X Plaid,"83,500",2023,"15,035",White,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #six seat interior, #tow package"
Tesla Model X,"84,000",2023,"20,759",Black,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #solid black color, #six seat interior, #tow package"
Tesla Model X,"84,500",2023,"11,765",Black,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #solid black color, #six seat interior, #tow package"
